torch_name,onnx_name
_input_layer.conv.weight,b1.a1.weight
_input_layer.conv.bias,b1.a1.bias
_input_layer.conv_surface.weight,b1.a2.weight
_input_layer.conv_surface.bias,b1.a2.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm1.weight,b1.a14.weight
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm1.bias,b1.a14.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm2.weight,b1.a15.weight
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm2.bias,b1.a15.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_8952
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear1.bias,b1.a16.fc1.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear2.weight,onnx::MatMul_8953
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear2.bias,b1.a16.fc2.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.earth_specific_bias,onnx::Add_8950
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear1.weight,onnx::MatMul_8946
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear1.bias,b1.a12.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear2.weight,onnx::MatMul_8951
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear2.bias,b1.a13.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm1.weight,b1.a22.weight
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm1.bias,b1.a22.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm2.weight,b1.a23.weight
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm2.bias,b1.a23.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear1.weight,onnx::MatMul_9059
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear1.bias,b1.a24.fc1.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear2.weight,onnx::MatMul_9060
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear2.bias,b1.a24.fc2.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.earth_specific_bias,onnx::Add_9057
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear1.weight,onnx::MatMul_9053
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear1.bias,b1.a20.bias
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear2.weight,onnx::MatMul_9058
layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear2.bias,b1.a21.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm1.weight,b1.a32.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm1.bias,b1.a32.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm2.weight,b1.a33.weight
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm2.bias,b1.a33.bias
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_9078
